"","token"
"1","一"
"2","二"
"3","三"
"4","四"
"5","五"
"6","六"
"7","七"
"8","八"
"9","十"
"10","百"
"11","千"
"12","万"
"13","及其"
"14","零"
"15","留学"
"16","留学生"
"17","学生"
"18","时期"
"19","初期"
"20","世纪"
"21","历史"
"22","考察"
"23","中心"
"24","中国"
"25","近代"
"26","研究"
"27","进行"
"28","重要"
"29","主要"
"30","方面"
"31","现代"
"32","本文"
"33","部分"
"34","成为"
"35","提供"
"36","近代史"
"37","从事"
"38","具有"
"39","分子"
"40","内容"
"41","时代"
"42","不同"
"43","地方"
"44","原因"
"45","相关"
"46","期间"
"47","论述"
"48","介绍"
"49","包括"
"50","之间"
"51","做出"
"52","全面"
"53","时间"
"54","之后"
"55","最终"
"56","认为"
"57","没有"
"58","关注"
"59","尤其"
"60","需要"
"61","走向"
"62","重视"
"63","深入"
"64","论文"
"65","这种"
"66","阐述"
"67","最后"
"68","有着"
"69","作出"
"70","以后"
"71","了解"
"72","先后"
"73","前期"
"74","不可"
"75","不足"
"76","整个"
"77","当代"
"78","古代"
"79","、"
"80","。"
"81","〈"
"82","〉"
"83","《"
"84","》"
"86","一些"
"87","一何"
"88","一切"
"89","一则"
"90","一方面"
"91","一旦"
"92","一来"
"93","一样"
"94","一般"
"95","一转眼"
"97","万一"
"99","上"
"100","上下"
"101","下"
"102","不"
"103","不仅"
"104","不但"
"105","不光"
"106","不单"
"107","不只"
"108","不外乎"
"109","不如"
"110","不妨"
"111","不尽"
"112","不尽然"
"113","不得"
"114","不怕"
"115","不惟"
"116","不成"
"117","不拘"
"118","不料"
"119","不是"
"120","不比"
"121","不然"
"122","不特"
"123","不独"
"124","不管"
"125","不至于"
"126","不若"
"127","不论"
"128","不过"
"129","不问"
"130","与"
"131","与其"
"132","与其说"
"133","与否"
"134","与此同时"
"135","且"
"136","且不说"
"137","且说"
"138","两者"
"139","个"
"140","个别"
"141","中"
"142","临"
"143","为"
"144","为了"
"145","为什么"
"146","为何"
"147","为止"
"148","为此"
"149","为着"
"150","乃"
"151","乃至"
"152","乃至于"
"153","么"
"154","之"
"155","之一"
"156","之所以"
"157","之类"
"158","乌乎"
"159","乎"
"160","乘"
"161","九"
"162","也"
"163","也好"
"164","也罢"
"165","了"
"167","二来"
"168","于"
"169","于是"
"170","于是乎"
"171","云云"
"172","云尔"
"174","些"
"175","亦"
"176","人"
"177","人们"
"178","人家"
"179","什"
"180","什么"
"181","什么样"
"182","今"
"183","介于"
"184","仍"
"185","仍旧"
"186","从"
"187","从此"
"188","从而"
"189","他"
"190","他人"
"191","他们"
"192","他们们"
"193","以"
"194","以上"
"195","以为"
"196","以便"
"197","以免"
"198","以及"
"199","以故"
"200","以期"
"201","以来"
"202","以至"
"203","以至于"
"204","以致"
"205","们"
"206","任"
"207","任何"
"208","任凭"
"209","会"
"210","似的"
"211","但"
"212","但凡"
"213","但是"
"214","何"
"215","何以"
"216","何况"
"217","何处"
"218","何时"
"219","余外"
"220","作为"
"221","你"
"222","你们"
"223","使"
"224","使得"
"225","例如"
"226","依"
"227","依据"
"228","依照"
"229","便于"
"230","俺"
"231","俺们"
"232","倘"
"233","倘使"
"234","倘或"
"235","倘然"
"236","倘若"
"237","借"
"238","借傥然"
"239","假使"
"240","假如"
"241","假若"
"242","做"
"243","像"
"244","儿"
"245","先不先"
"246","光是"
"247","全体"
"248","全部"
"251","兮"
"252","共"
"253","关于"
"254","关于具体地说"
"255","其"
"256","其一"
"257","其中"
"258","其二"
"259","其他"
"260","其余"
"261","其它"
"262","其次"
"263","具体地说"
"264","具体说来"
"265","兼之"
"266","内"
"267","再"
"268","再其次"
"269","再则"
"270","再有"
"271","再者"
"272","再者说"
"273","再说"
"274","冒"
"275","冲"
"276","况且"
"277","几"
"278","几时"
"279","凡"
"280","凡是"
"281","凭"
"282","凭借"
"283","出于"
"284","出来"
"285","分"
"286","分别"
"287","则"
"288","则甚"
"289","别"
"290","别人"
"291","别处"
"292","别是"
"293","别的"
"294","别管"
"295","别说"
"296","到"
"297","前后"
"298","前此"
"299","前者"
"300","加之"
"301","加以"
"302","即"
"303","即令"
"304","即使"
"305","即便"
"306","即如"
"307","即或"
"308","即若"
"309","却"
"310","去"
"311","又"
"312","又及"
"313","及"
"315","及至"
"316","反之"
"317","反而"
"318","反过来"
"319","反过来说"
"320","受到"
"321","另"
"322","另一方面"
"323","另外"
"324","另悉"
"325","只"
"326","只当"
"327","只怕"
"328","只是"
"329","只有"
"330","只消"
"331","只要"
"332","只限"
"333","叫"
"334","叮咚"
"335","可"
"336","可以"
"337","可是"
"338","可见"
"339","各"
"340","各个"
"341","各位"
"342","各种"
"343","各自"
"344","同"
"345","同时"
"346","后"
"347","后者"
"348","向"
"349","向使"
"350","向着"
"351","吓"
"352","吗"
"353","否则"
"354","吧"
"355","吧哒"
"356","含"
"357","吱"
"358","呀"
"359","呃"
"360","呕"
"361","呗"
"362","呜"
"363","呜呼"
"364","呢"
"365","呵"
"366","呵呵"
"367","呸"
"368","呼哧"
"369","咋"
"370","和"
"371","咚"
"372","咦"
"373","咧"
"374","咱"
"375","咱们"
"376","咳"
"377","哇"
"378","哈"
"379","哈哈"
"380","哉"
"381","哎"
"382","哎呀"
"383","哎哟"
"384","哗"
"385","哟"
"386","哦"
"387","哩"
"388","哪"
"389","哪个"
"390","哪些"
"391","哪儿"
"392","哪天"
"393","哪年"
"394","哪怕"
"395","哪样"
"396","哪边"
"397","哪里"
"398","哼"
"399","哼唷"
"400","唉"
"401","唯有"
"402","啊"
"403","啐"
"404","啥"
"405","啦"
"406","啪达"
"407","啷当"
"408","喂"
"409","喏"
"410","喔唷"
"411","喽"
"412","嗡"
"413","嗡嗡"
"414","嗬"
"415","嗯"
"416","嗳"
"417","嘎"
"418","嘎登"
"419","嘘"
"420","嘛"
"421","嘻"
"422","嘿"
"423","嘿嘿"
"425","因"
"426","因为"
"427","因了"
"428","因此"
"429","因着"
"430","因而"
"431","固然"
"432","在"
"433","在下"
"434","在于"
"435","地"
"436","基于"
"437","处在"
"438","多"
"439","多么"
"440","多少"
"441","大"
"442","大家"
"443","她"
"444","她们"
"445","好"
"446","如"
"447","如上"
"448","如上所述"
"449","如下"
"450","如何"
"451","如其"
"452","如同"
"453","如是"
"454","如果"
"455","如此"
"456","如若"
"457","始而"
"458","孰料"
"459","孰知"
"460","宁"
"461","宁可"
"462","宁愿"
"463","宁肯"
"464","它"
"465","它们"
"466","对"
"467","对于"
"468","对待"
"469","对方"
"470","对比"
"471","将"
"472","小"
"473","尔"
"474","尔后"
"475","尔尔"
"476","尚且"
"477","就"
"478","就是"
"479","就是了"
"480","就是说"
"481","就算"
"482","就要"
"483","尽"
"484","尽管"
"485","尽管如此"
"486","岂但"
"487","己"
"488","已"
"489","已矣"
"490","巴"
"491","巴巴"
"492","年"
"493","并"
"494","并且"
"495","庶乎"
"496","庶几"
"497","开外"
"498","开始"
"499","归"
"500","归齐"
"501","当"
"502","当地"
"503","当然"
"504","当着"
"505","彼"
"506","彼时"
"507","彼此"
"508","往"
"509","待"
"510","很"
"511","得"
"512","得了"
"513","怎"
"514","怎么"
"515","怎么办"
"516","怎么样"
"517","怎奈"
"518","怎样"
"519","总之"
"520","总的来看"
"521","总的来说"
"522","总的说来"
"523","总而言之"
"524","恰恰相反"
"525","您"
"526","惟其"
"527","慢说"
"528","我"
"529","我们"
"530","或"
"531","或则"
"532","或是"
"533","或曰"
"534","或者"
"535","截至"
"536","所"
"537","所以"
"538","所在"
"539","所幸"
"540","所有"
"541","才"
"542","才能"
"543","打"
"544","打从"
"545","把"
"546","抑或"
"547","拿"
"548","按"
"549","按照"
"550","换句话说"
"551","换言之"
"552","据"
"553","据此"
"554","接着"
"555","故"
"556","故此"
"557","故而"
"558","旁人"
"559","无"
"560","无宁"
"561","无论"
"562","既"
"563","既往"
"564","既是"
"565","既然"
"566","日"
"567","时"
"568","时候"
"569","是"
"570","是以"
"571","是的"
"572","更"
"573","曾"
"574","替"
"575","替代"
"576","最"
"577","月"
